chapter,part,line,value,context,family,source,status,note
3,appendix,644,--24,organisational conditions present during the 2023--24 outcome period.,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,648,0.320,0.320 (Severe Learning Difficulty) to 0.643 (Moderate Learning Difficulty);,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,648,0.643,0.320 (Severe Learning Difficulty) to 0.643 (Moderate Learning Difficulty);,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,650,0.545,category has ICC~$= 0.545$. The lower stability of SEMH relative to the,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,651,0.65,aggregate SEN support share (ICC~$= 0.65$) is consistent with SEMH composition,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,666,8,"Progress~8 components that serve as the primary outcomes of this chapter,",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,667,8,together with the corresponding Attainment~8 components used in the,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,668,8,"contemporaneous robustness specification. Among the Progress~8 components,",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,669,0.587,stability varies from ICC~$= 0.587$ for the Open component to ICC~$= 0.748$,stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,669,0.748,stability varies from ICC~$= 0.587$ for the Open component to ICC~$= 0.748$,stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,670,0.67,"for EBaC, with English and Maths sitting between these at ICC~$\approx 0.67$.",stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,676,0.52,"exceed the per-pupil expenditure ICC of~$0.52$, which is the weakest result",stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,686,0.587,(ICC~$= 0.587$ versus $0.748$) implies that the warmth coefficient will be,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,686,0.748,(ICC~$= 0.587$ versus $0.748$) implies that the warmth coefficient will be,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,691,8,Attainment~8 component ICCs substantially exceed their Progress~8 counterparts,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,691,8,Attainment~8 component ICCs substantially exceed their Progress~8 counterparts,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,692,0.750,"across all four components, ranging from ICC~$= 0.750$ (Open) to",stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,693,0.887,ICC~$= 0.887$ (EBaC). This pattern is expected: Attainment~8 measures absolute,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,693,8,ICC~$= 0.887$ (EBaC). This pattern is expected: Attainment~8 measures absolute,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,695,0.91,signal---itself at ICC~$= 0.91$ for the KS2 scaled score---is retained in the,stability,generate_structural_stability.py / ch3_appendix_stability.csv (rerun),OK,
3,appendix,697,8,within-school variance. The higher Attainment~8 ICCs therefore do not indicate,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,710,99,"and Open components. These tables carry the primary specification ($n = 99$,",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,721,11,attenuates the strictness--EBaC association by only 11 to 14~per~cent. Most,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED,entry attenuation
3,appendix,721,14,attenuates the strictness--EBaC association by only 11 to 14~per~cent. Most,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED,entry attenuation
3,appendix,730,8,"Progress~8 components and the four Attainment~8 buckets, and",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,730,8,"Progress~8 components and the four Attainment~8 buckets, and",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,745,33,reliability shown beside it; every one of the 33 items carries a positive,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,746,28,"coefficient and 28 survive the false-discovery correction, so the sub-score",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,780,8,"earlier, where it correlates with the published Progress~8 at $+0.81$. The",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,780,+0.81,"earlier, where it correlates with the published Progress~8 at $+0.81$. The",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,781,0.05,culture coefficients on the pseudo-outcome sit within $0.05$ of their,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",FIXED,pseudo-P8 twin difference 0.047
3,appendix,783,8,"strategy directly: within-school Progress~8 movement across years is small,",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,793,--24,"2023--24 share of pupils with social, emotional and mental-health needs on",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,794,--16,"strictness, conditional on the school's 2015--16 share and the standard",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,796,-0.108,on their baseline ($-0.108$ of a percentage point per standard deviation of,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",HELD (C3-1),"body coefficients are per point of the 0-10 scale, not per SD; Damian's decision"
3,appendix,797,0.013,"the score, $p = 0.013$, $n = 2{,}594$); the direction is the same in the visited",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,797,2,"the score, $p = 0.013$, $n = 2{,}594$); the direction is the same in the visited",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,797,594,"the score, $p = 0.013$, $n = 2{,}594$); the direction is the same in the visited",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,798,-0.257,"sample but imprecise ($-0.257$, $p = 0.36$, $n = 94$), and",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,SEMH mechanism on the primary spec
3,appendix,798,0.36,"sample but imprecise ($-0.257$, $p = 0.36$, $n = 94$), and",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,SEMH mechanism on the primary spec
3,appendix,798,94,"sample but imprecise ($-0.257$, $p = 0.36$, $n = 94$), and",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,SEMH mechanism on the primary spec
3,appendix,803,0.131,strictness coefficient from $0.131$ to $0.105$; re-estimating on the same 94,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,803,0.105,strictness coefficient from $0.131$ to $0.105$; re-estimating on the same 94,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,803,94,strictness coefficient from $0.131$ to $0.105$; re-estimating on the same 94,ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,804,0.114,"schools without the control gives $0.114$, so about eight per cent of the",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,828,1,estimated on the Tier~1 sample of \NTierOne{} visited schools. No pairwise,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,829,0.29,correlation exceeds $|r| = 0.29$. The largest entries are between,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,830,-0.29,"$W_{\text{enac}}$ and EAL share ($r = -0.29$), between $T_{\text{enac}}$ and",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,831,-0.26,"EAL share ($r = -0.26$) and KS2 prior attainment ($r = +0.24$), and between",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,831,+0.24,"EAL share ($r = -0.26$) and KS2 prior attainment ($r = +0.24$), and between",ch3 regression,"ch3_estimates.csv / ch3_appendix_estimates.csv / a7_estimates.csv (Stata, rerun)",OK,
3,appendix,832,+0.20,$W_{\text{enac}}$ and selective school status ($r = +0.20$). The absence of,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,836,+0.20,"dimensions ($r = +0.20$ warmth, $+0.22$ strictness), which the selective",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,836,+0.22,"dimensions ($r = +0.20$ warmth, $+0.22$ strictness), which the selective",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,842,99,side-by-side for the full primary sample ($n = 99$) and for the subset of,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",FIXED,continuity on the primary spec
3,appendix,844,22,is confirmed still in post in the July~2026 GIAS snapshot ($n = 22$). The,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,845,103,restriction is driven as much by data coverage as by turnover: of the 103,gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),OK,
3,appendix,846,"29,","full-data schools, continuity could be determined for only 29, of which 22 were",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,846,22,"full-data schools, continuity could be determined for only 29, of which 22 were",structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,847,7,unchanged and 7 had changed. Given the,structural / scale,"definition (1-5 scales, 0-10 rescaling, counts of items) -- checked by reading",OK,
3,appendix,853,0.32,"0.32 to 0.48), while warmth estimates are noisy and should not be",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED,continuity on the primary spec
3,appendix,853,0.48,"0.32 to 0.48), while warmth estimates are noisy and should not be",gold standard,analysis_dataset.csv gs_* + raw workbooks (recomputed),FIXED,continuity on the primary spec
